FishID,River,Riv,Gender,StandardLength,TotalLength,Weight,FultonsCF,MuscleAChE,MuscleProt,MuscleGlyc,MuscleLip,MuscleProt_J,MuscleGlyc_J,MuscleLip_J,TotE,MT_RQM,CYP450_RQM,GST_RQM,CAT_RQM,LiverHg,LiverFe,LiverCo,LiverCu,LiverZn,LiverCd,LiverPb,LiverAs,MuscleHg,MuscleZn,MuscleAs,Inv_Hg,Inv_Fe,Inv_Co,Inv_Cu,Inv_Zn,Inv_Cd,Inv_Pb,Inv_As,WaterFe,WaterCo,WaterCu,WaterZn,WaterCd,WaterPb,WaterAs,SedimentHg,SedimentFe,SedimentCo,SedimentCu,SedimentZn,SedimentCd,SedimentPb,SedimentAs
11,Witbeek,wit,female,54.63,62.16,2.65,1.6254,0.11891093,111.5868353,0.021291454,33.50423274,2678.0840472,0.372600445,1323.41719323,4001.873840875,1.854170287,1.362893555,0.605464025,0.80114115,1.755759677,2795.499907,11.15529693,305.1439819,2513.089609,8.925674584,1.352244148,16.35861568,3.07713681,1279.909154,38.85328986,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
12,Witbeek,wit,female,53.44,61.03,2.8,1.8347,0.085365957,120.2015019,,39.67846759,2884.8360456,0,1567.299469805,4452.135515405,1.401737059,4.665287255,0.524340068,1.975717381,0.585128332,3070.117365,8.922333097,103.3101254,2397.444386,3.522174364,1.722043976,27.82251103,1.875267379,1667.736929,89.48785837,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
13,Witbeek,wit,female,54.69,62.84,2.95,1.8034,0.092933064,83.08715078,0.228060573,30.07781089,1994.09161872,3.9910600275,1188.073530155,3186.1562089025,0.249777822,0.794507935,0.259922115,1.717354112,1.193026903,2335.509743,2.766343107,111.8478773,2331.531289,2.261932512,0.830132892,14.83273723,2.043260572,652.8626917,25.9651333,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
14,Witbeek,wit,female,51.3,59.69,3.65,2.7036,0.119234761,84.49291896,0.252159052,27.82218315,2027.83005504,4.41278341,1098.976234425,3131.219072875,0.350000888,2.420261533,0.854200935,1.432978145,1.169401056,2924.543789,6.072758159,103.3998241,2368.048427,4.519236923,0.847454238,15.17132529,3.163245319,1448.750287,30.18030619,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
15,Witbeek,wit,male,44.49,51.63,1.6,1.8169,0.192635603,129.2821692,0.752964302,72.34798047,3102.7720608,13.176875285,2857.745228565,5973.69416465,1.071812441,10.49848959,1.10564504,2.820312875,2.098542432,5900.881784,12.21790677,451.1484714,4187.202741,13.50066598,3.047393531,21.43899364,2.306560058,1721.319981,2.397990115,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
16,Witbeek,wit,female,53.05,58.71,2.35,1.574,0.153429041,86.32288624,,32.12818236,2071.74926976,0,1269.06320322,3340.81247298,0.234761003,1.609186246,0.838017409,1.529967265,2.817792428,4367.887174,2.775494748,398.9161393,2572.340092,4.009597297,1.192908256,8.126352382,4.832398571,1178.689127,8.466764013,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
17,Witbeek,wit,female,57.24,62.15,3.1,1.653,0.129539779,68.25681572,0.275913745,19.37739172,1638.16357728,4.8284905375,765.40697294,2408.3990407575,0.418719434,0.468139736,0.253576586,0.341971451,2.71849428,2971.947477,2.684778327,499.1118357,2416.177595,5.089751853,0.586352927,5.656719039,6.336544534,1093.83795,11.30782453,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
18,Witbeek,wit,male,51.33,58.25,1.95,1.4419,0.242526624,71.10705596,1.059407948,16.99321296,1706.56934304,18.53963909,671.23191192,2396.34089405,2.787900655,2.770026786,1.803503632,1.942818289,3.415714397,,,,5174.808103,,,25.00586371,4.729231395,,16.84412686,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
19,Witbeek,wit,female,52.67,58.26,2.8,1.9163,0.359925213,77.4492162,0.659137503,22.08567103,1858.7811888,11.5349063025,872.384005685,2742.7001007875,0.07080928,1.468552736,0.312916121,0.691874019,3.094648882,3207.723913,2.350631233,757.9497372,2629.059841,3.322677494,0.888621764,7.419414191,4.1292856,1759.727986,9.402585375,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
20,Witbeek,wit,female,49.94,57.24,2.4,1.9269,0.203416063,102.2672673,,36.09293504,2454.4144152,0,1425.67093408,3880.08534928,0.319614424,1.762012593,0.847545883,0.563548787,3.953853374,4125.952066,4.095812391,696.3007339,3828.282402,9.81619482,2.163493543,10.04881854,4.705904139,1080.035555,9.215641194,0.474641474,13071.89542,19.3432938,1109.957091,9257.902519,8.753313762,1.986808237,28.89671925,4.637872683,0.001747747,0.009127246,0.295243194,0.000462588,0.001549228,0.00445132,7.276E-06,68.50485,0.02562036,0.02796489,0.6346933,0.001354364,0.02540276,0.01800886
